Country,Subtopic link,Status link,Status justification,iso_a3_eh
Croatia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,CUB
Croatia,Enforcement of emergency vaccination,Legal sanctions,"In Croatia, individuals that fail to receive emergency vaccinations may be assessed a fine between HRK 30,000.00 and HRK 80,000.00. ",CUB
Cuba,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CUW
Cuba,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CUW
Cuba,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CUW
Cuba,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have legislation or a constitutional right to mandate vaccination. ",CUW
Cuba,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CUW
Curacao,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CYP
Curacao,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CYP
Curacao,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CYP
Curacao,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have legislation or a constitutional right to mandate vaccination. ",CYP
Curacao,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CYP
Cyprus,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,CZE
Cyprus,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CZE
Cyprus,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,CZE
Cyprus,Emergency vaccination authority,No emergency power to vaccinate,"There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, some provinces may have legislation or a constitutional right to mandate vaccination. ",CZE
Cyprus,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",CZE
Czechia (Czech Republic),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,PRK
Czechia (Czech Republic),Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,Unvaccinated children in Czechia must be excluded from the education system and parents of these children can be fined for failure to comply with mandatory vaccines. ,PRK
Czechia (Czech Republic),Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,PRK
Czechia (Czech Republic),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,PRK
Czechia (Czech Republic),Enforcement of emergency vaccination,Legal sanctions,"In Czechia, an individual that defies requirements for emergency vaccination will be assessed a fine of CZK 3,000,000. ",PRK
Democratic Republic of Congo (DRC),Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,COD
Democratic Republic of Congo (DRC),Enforcement of childhood vaccination requirement,No enforcement mechanisms,"While there is a legal requirement for children to be vaccinated, no enforcement mechanisms were identified in the legislation. ",COD
Democratic Republic of Congo (DRC),Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,COD
Democratic Republic of Congo (DRC),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,COD
Democratic Republic of Congo (DRC),Enforcement of emergency vaccination,No enforcement mechanisms,"While there is a legal requirement for citizens and residents to be vaccinated during a health emergency, no enforcement mechanisms were identified in the legislation. ",COD
Denmark,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,DNK
Denmark,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,DNK
Denmark,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,DNK
Denmark,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,DNK
Denmark,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",DNK
Djibouti,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,DJI
Djibouti,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,DJI
Djibouti,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,DJI
Djibouti,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,DJI
Djibouti,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",DJI
Dominica,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,DMA
Dominica,Enforcement of childhood vaccination requirement,Legal sanctions,Parents in Dominica who fail to vaccinate their child will be fined 50 East Caribbean Dollars per month of failure to present their child for vaccination. ,DMA
Dominica,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,DMA
Dominica,Emergency vaccination authority,Emergency power to vaccinate,"There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. However, this emergency power can only be used for Smallpox. ",DMA
Dominica,Enforcement of emergency vaccination,Legal sanctions,Individuals that fail to receive emergency vaccinations against Smallpox will be assessed a fine of 50 Eastern Caribbean Dollars. ,DMA
Dominican Republic,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,DOM
Dominican Republic,Enforcement of childhood vaccination requirement,Legal sanctions,Parents in the Dominican Republic who fail to vaccinate their child will be fined based upon their current salary. ,DOM
Dominican Republic,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,DOM
Dominican Republic,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,DOM
Dominican Republic,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",DOM
Ecuador,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ECU
Ecuador,Enforcement of childhood vaccination requirement,No enforcement mechanisms,There is a legal requirement for children to be vaccinated but there are no legal enforcement mechanisms. ,ECU
Ecuador,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,ECU
Ecuador,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ECU
Ecuador,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ECU
Egypt,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,EGY
Egypt,Enforcement of childhood vaccination requirement,Legal sanctions,Parents that fail to vaccinate their children can be fined between 20 and 200 pounds. ,EGY
Egypt,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,EGY
Egypt,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,EGY
Egypt,Enforcement of emergency vaccination,Legal sanctions,Emergency vaccination mandates are enforceable through a fine ranging between 20-100 Piastres. ,EGY
El Salvador,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SLV
El Salvador,Enforcement of childhood vaccination requirement,Social exclusion,"Schools in El Salvador require confirmation of vaccination for student enrollment, however, schools may not bar students from attending school if they are not vaccinated. ",SLV
El Salvador,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,SLV
El Salvador,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SLV
El Salvador,Enforcement of emergency vaccination,Legal sanctions,Emergency vaccination mandates are enforceable through an unspecified criminal conviction. ,SLV
Equatorial Guinea,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GNQ
Equatorial Guinea,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GNQ
Equatorial Guinea,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GNQ
Equatorial Guinea,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GNQ
Equatorial Guinea,Enforcement of emergency vaccination,Legal sanctions,"The law states that individuals that refuse emergency vaccinations will be subject to criminal penalties, though these penalties are undefined. ",GNQ
Eritrea,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ERI
Eritrea,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ERI
Eritrea,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ERI
Eritrea,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ERI
Eritrea,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ERI
Estonia,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,EST
Estonia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,EST
Estonia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,EST
Estonia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,EST
Estonia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",EST
Eswatini (Swaziland),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,SWZ
Eswatini (Swaziland),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SWZ
Eswatini (Swaziland),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,SWZ
Eswatini (Swaziland),Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,SWZ
Eswatini (Swaziland),Enforcement of emergency vaccination,Legal sanctions,Individuals that fail to receive an emergency vaccination will be fined 200 emalangeni. ,SWZ
Ethiopia,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ETH
Ethiopia,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ETH
Ethiopia,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ETH
Ethiopia,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ETH
Ethiopia,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ETH
Fiji,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,FJI
Fiji,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,FJI
Fiji,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,FJI
Fiji,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. Any individual that does not comply with the order will be fined up to FJD 40. ,FJI
Fiji,Enforcement of emergency vaccination,Legal sanctions,Any attempt to forego emergency vaccination or otherwise interfere will result in a fine of $40.,FJI
Finland,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,FIN
Finland,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,FIN
Finland,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,FIN
Finland,Emergency vaccination authority,Emergency power to vaccinate,"There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. The government does have this power, but a separate decree must be issued to require compulsory vaccination during an epidemic event. ",FIN
Finland,Enforcement of emergency vaccination,Legal sanctions,Emergency vaccinations can be mandated by governmental decree in the face of a disease epidemic and can be enforceable through an undefined fine and jail time of up to 3 months,FIN
France,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,FRA
France,Enforcement of childhood vaccination requirement,Social exclusion,"In France, unvaccinated students cannot be enrolled in preschools, nurseries or grade schools. Parents are given three months from the beginning of the school year to initiate vaccination, but if the child remains unvaccinated, they will be barred from school entry.",FRA
France,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,FRA
France,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,FRA
France,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",FRA
Gabon,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GAB
Gabon,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GAB
Gabon,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GAB
Gabon,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GAB
Gabon,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GAB
Gambia (Republic of The),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GMB
Gambia (Republic of The),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GMB
Gambia (Republic of The),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GMB
Gambia (Republic of The),Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GMB
Gambia (Republic of The),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GMB
Georgia,Childhood vaccination requirement,Childhood vaccination is required,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GEO
Georgia,Enforcement of childhood vaccination requirement,No enforcement mechanisms,There is a legal requirement for children to be vaccinated but there are no legal enforcement mechanisms. ,GEO
Georgia,Exemption from childhood vaccination requirement,Medical and non-medical exemptions,Legislation specifies that medical and non-medical exemptions are allowed in this country.,GEO
Georgia,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GEO
Georgia,Enforcement of emergency vaccination,No enforcement mechanisms,There was no enforcement mechanism identified in the policy. ,GEO
Germany,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,DEU
Germany,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"In Germany, unvaccinated children can be barred from nursery schools or other communal childcare settings. School-aged children can be fined up to 2,500 Euros is they do not provide confirmation of having received vaccines. On occasion, school-aged children can be barred from in-person attendance. ",DEU
Germany,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,DEU
Germany,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,DEU
Germany,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",DEU
Ghana,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. While Article 24 of the Public Health Act, 2012 allows for childhood vaccinations to be made mandatory, it must be done through a separate regulation, which was not identified. ",GHA
Ghana,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GHA
Ghana,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GHA
Ghana,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GHA
Ghana,Enforcement of emergency vaccination,Legal sanctions,"In Ghana, individuals that fail to receive a mandatory vaccination will be fined a 50 penalty points (equal to 600 Ghanian cedi) and/or imprisoned for up to three months. ",GHA
Greece,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GRC
Greece,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GRC
Greece,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GRC
Greece,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GRC
Greece,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GRC
Greenland,Childhood vaccination requirement,No data,No data,GRL
Greenland,Enforcement of childhood vaccination requirement,No data,No data,GRL
Greenland,Exemption from childhood vaccination requirement,No data,No data,GRL
Greenland,Emergency vaccination authority,No data,No data,GRL
Greenland,Enforcement of emergency vaccination,No data,No data,GRL
Grenada,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GRD
Grenada,Enforcement of childhood vaccination requirement,Legal sanctions,Parents in Grenada will be fined EC$ 50 for failing to vaccinate their child against Smallpox. ,GRD
Grenada,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,GRD
Grenada,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GRD
Grenada,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GRD
Guatemala,Childhood vaccination requirement,No childhood vaccination requirement,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. According to Decree Law 6-2022, no one is required to receive vaccinations, though individual schools may be allowed to require vaccination for pupils. ",GTM
Guatemala,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GTM
Guatemala,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GTM
Guatemala,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GTM
Guatemala,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GTM
Guinea,Childhood vaccination requirement,Childhood vaccination is required,"There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. According to Decree Law 6-2022, no one is required to receive vaccinations, though individual schools may be allowed to require vaccination for pupils. ",GIN
Guinea,Enforcement of childhood vaccination requirement,Legal sanctions,"In Guinea, parents that fail to comply with childhood vaccination will be faced with a fine of between 50,000 and 1,000,000 Guinean francs, and/or a prison sentence between 6 months and 5 years. ",GIN
Guinea,Exemption from childhood vaccination requirement,No exemptions specified,Legislation does not specify vaccination exemptions.,GIN
Guinea,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. Those that fail to comply with this requirement may be jailed for a period between 1-12 months. ,GIN
Guinea,Enforcement of emergency vaccination,Legal sanctions,"In Guinea, individuals that fail to comply with emergency vaccination will be faced with a fine of between 50,000 and 1,000,000 Guinean francs, and/or a prison sentence between 6 months and 5 years. ",GIN
Guinea Bissau,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GNB
Guinea Bissau,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GNB
Guinea Bissau,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,GNB
Guinea Bissau,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GNB
Guinea Bissau,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GNB
Guyana,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,GUY
Guyana,Enforcement of childhood vaccination requirement,Social exclusion,Schools in Guyana require confirmation of vaccination for student enrollment. ,GUY
Guyana,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,GUY
Guyana,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,GUY
Guyana,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",GUY
Haiti,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,HTI
Haiti,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,HTI
Haiti,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,HTI
Haiti,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,HTI
Haiti,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",HTI
Holy See (Vatican City),Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,VAT
Holy See (Vatican City),Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,VAT
Holy See (Vatican City),Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,VAT
Holy See (Vatican City),Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,VAT
Holy See (Vatican City),Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",VAT
Honduras,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,HND
Honduras,Enforcement of childhood vaccination requirement,Social exclusion,"Schools in Honduras require confirmation of vaccination for student enrollment, however, schools may not bar students from attending school if they are not vaccinated. ",HND
Honduras,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,HND
Honduras,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,HND
Honduras,Enforcement of emergency vaccination,No enforcement mechanisms,"While there is a legal requirement for individuals to be vaccinated during an epidemic, no enforcement mechanisms were identified in the legislation. ",HND
Hungary,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,HUN
Hungary,Enforcement of childhood vaccination requirement,2 or more enforcement mechanisms,"Hungarian legislation allows for a variety of enforcement measures. Parents may be fined up to 500,000 Hungarian Forints, children may face social exclusion, such as lack of access to schools, and the law may be interpreted to allow for forcible vaccination. ",HUN
Hungary,Exemption from childhood vaccination requirement,Medical exemptions,Legislation specifies that medical exemptions are the only accepted type of exemption from childhood vaccination requirements. These exemptions are received after examination by a medical professional that results in determination of a medical contraindication to the vaccine. ,HUN
Hungary,Emergency vaccination authority,Emergency power to vaccinate,There is an enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,HUN
Hungary,Enforcement of emergency vaccination,2 or more enforcement mechanisms,"Individuals may be fined up to 500,000 Hungarian Forints for failing to receive an emergency vaccination, and the law may be interpreted to allow for forcible vaccination. ",HUN
Iceland,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,ISL
Iceland,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ISL
Iceland,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,ISL
Iceland,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,ISL
Iceland,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",ISL
India,Childhood vaccination requirement,No childhood vaccination requirement,There is no legally enforceable mandate requiring that children receive at least one vaccination in this country. ,IND
India,Enforcement of childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,IND
India,Exemption from childhood vaccination requirement,No childhood vaccination requirement,Routine childhood vaccinations are not mandated in this country. ,IND
India,Emergency vaccination authority,No emergency power to vaccinate,There is no enforceable policy requiring that individuals receive a vaccination mandated by a government entity in the event of an emergency. ,IND
India,Enforcement of emergency vaccination,No emergency power to vaccinate,"There is no required emergency vaccination, thus no enforcement mechanism exists. ",IND
Indonesia,Childhood vaccination requirement,Childhood vaccination is required,There is a legally enforceable mandate requiring that children receive at least one vaccination in this country. ,IDN
Indonesia,Enforcement of childhood vaccination requirement,Legal sanctions,"According to the Law on Child Protection, any parent that conducts an action that leads to illness of their child will face a jail sentence of up to 5 years and/or a fine of up to 100 million Rupiah. ",IDN
